v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-1.0000,-0.5000,0.0000,-20.0000,1.297099,0.331285
-4.0000,-1.0000,-0.5000,0.0000,-10.0000,0.577011,0.116686
-4.0000,-1.0000,-0.5000,0.0000,0.0000,0.428867,0.079931
-4.0000,-1.0000,-0.5000,0.0000,10.0000,0.341557,0.089655
-4.0000,-1.0000,-0.5000,0.0000,20.0000,0.170567,0.151308
-4.0000,-1.0000,-0.5000,0.0000,30.0000,-0.341579,0.275209
-4.0000,-1.0000,-0.5000,10.0000,-30.0000,3.473250,0.641666
-4.0000,-1.0000,-0.5000,10.0000,-20.0000,1.963353,0.404873
-4.0000,-1.0000,-0.5000,10.0000,-10.0000,0.952137,0.153919
-4.0000,-1.0000,-0.5000,10.0000,0.0000,0.822077,0.104222
-4.0000,-1.0000,-0.5000,10.0000,10.0000,0.723280,0.143574
-4.0000,-1.0000,-0.5000,10.0000,20.0000,0.501258,0.271467
-4.0000,-1.0000,-0.5000,10.0000,30.0000,-0.199401,0.437147
-4.0000,-1.0000,-0.5000,20.0000,-30.0000,3.802323,0.589711
-4.0000,-1.0000,-0.5000,20.0000,-20.0000,2.923493,0.386775
-4.0000,-1.0000,-0.5000,20.0000,-10.0000,2.158711,0.170001
-4.0000,-1.0000,-0.5000,20.0000,0.0000,1.942714,0.108349
-4.0000,-1.0000,-0.5000,20.0000,10.0000,1.784234,0.223864
-4.0000,-1.0000,-0.5000,20.0000,20.0000,0.497437,0.446964
-4.0000,-1.0000,-0.5000,20.0000,30.0000,-0.475781,0.621969
-4.0000,-1.0000,-0.5000,30.0000,-30.0000,4.403812,0.488270
-4.0000,-1.0000,-0.5000,30.0000,-20.0000,3.712179,0.320299
-4.0000,-1.0000,-0.5000,30.0000,-10.0000,3.312861,0.172348
-4.0000,-1.0000,-0.5000,30.0000,0.0000,3.209505,0.137196
-4.0000,-1.0000,-0.5000,30.0000,10.0000,2.982273,0.266190
-4.0000,-1.0000,-0.5000,30.0000,20.0000,1.427028,0.538912
-4.0000,-1.0000,-0.5000,30.0000,30.0000,-0.735903,0.755474
-4.0000,-1.0000,-0.5000,35.0000,-30.0000,4.800507,0.442283
-4.0000,-1.0000,-0.5000,35.0000,-20.0000,4.188520,0.295650
-4.0000,-1.0000,-0.5000,35.0000,-10.0000,3.810503,0.179318
-4.0000,-1.0000,-0.5000,35.0000,0.0000,3.706133,0.157092
-4.0000,-1.0000,-0.5000,35.0000,10.0000,3.392334,0.282804
-4.0000,-1.0000,-0.5000,35.0000,20.0000,1.651303,0.548539
-4.0000,-1.0000,-0.5000,35.0000,30.0000,-0.446735,0.729277
-4.0000,-1.0000,0.0000,-35.0000,-30.0000,-4.985291,0.016337
-4.0000,-1.0000,0.0000,-35.0000,-20.0000,-5.046045,0.008772
-4.0000,-1.0000,0.0000,-35.0000,-10.0000,-5.070028,0.003632
-4.0000,-1.0000,0.0000,-35.0000,0.0000,-5.076124,-0.000000
-4.0000,-1.0000,0.0000,-35.0000,10.0000,-5.070027,-0.003632
-4.0000,-1.0000,0.0000,-35.0000,20.0000,-5.046045,-0.008772
-4.0000,-1.0000,0.0000,-35.0000,30.0000,-4.985291,-0.016337
-4.0000,-1.0000,0.0000,-30.0000,-30.0000,-4.343888,0.014105
-4.0000,-1.0000,0.0000,-30.0000,-20.0000,-4.399527,0.007229
-4.0000,-1.0000,0.0000,-30.0000,-10.0000,-4.419954,0.002886
-4.0000,-1.0000,0.0000,-30.0000,0.0000,-4.425073,-0.000000
-4.0000,-1.0000,0.0000,-30.0000,10.0000,-4.419951,-0.002886
-4.0000,-1.0000,0.0000,-30.0000,20.0000,-4.399528,-0.007229
-4.0000,-1.0000,0.0000,-30.0000,30.0000,-4.343888,-0.014105
-4.0000,-1.0000,0.0000,-20.0000,-30.0000,-2.973870,0.008825
-4.0000,-1.0000,0.0000,-20.0000,-20.0000,-3.011739,0.004029
-4.0000,-1.0000,0.0000,-20.0000,-10.0000,-3.024113,0.001475
-4.0000,-1.0000,0.0000,-20.0000,0.0000,-3.026952,-0.000000
-4.0000,-1.0000,0.0000,-20.0000,10.0000,-3.024111,-0.001475
-4.0000,-1.0000,0.0000,-20.0000,20.0000,-3.011739,-0.004029
-4.0000,-1.0000,0.0000,-20.0000,30.0000,-2.973868,-0.008825
-4.0000,-1.0000,0.0000,-10.0000,-30.0000,-1.520612,0.002416
-4.0000,-1.0000,0.0000,-10.0000,-20.0000,-1.532219,0.000881
-4.0000,-1.0000,0.0000,-10.0000,-10.0000,-1.536093,0.000289
-4.0000,-1.0000,0.0000,-10.0000,0.0000,-1.536951,-0.000000
-4.0000,-1.0000,0.0000,-10.0000,10.0000,-1.536095,-0.000289
-4.0000,-1.0000,0.0000,-10.0000,20.0000,-1.532219,-0.000881
-4.0000,-1.0000,0.0000,-10.0000,30.0000,-1.520614,-0.002416
-4.0000,-1.0000,0.0000,0.0000,-30.0000,-0.059695,-0.005624
-4.0000,-1.0000,0.0000,0.0000,-20.0000,-0.038156,-0.001949
-4.0000,-1.0000,0.0000,0.0000,-10.0000,-0.033885,-0.000570
-4.0000,-1.0000,0.0000,0.0000,0.0000,-0.033550,0.000000
-4.0000,-1.0000,0.0000,0.0000,10.0000,-0.033887,0.000570
-4.0000,-1.0000,0.0000,0.0000,20.0000,-0.038156,0.001949
-4.0000,-1.0000,0.0000,0.0000,30.0000,-0.059698,0.005623
-4.0000,-1.0000,0.0000,10.0000,-30.0000,0.067290,-0.049966
